epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,29,,,3229.991943359375,0.16366569697856903,8540.6259765625,0.16374340653419495,1505.708740234375
0,,29,1596.115966796875,,,,,,
,0.03,30,,,,,,,
1,,49,,1081.330078125,,,,,
1,,59,,,2313.766357421875,0.17105546593666077,6155.39306640625,0.18069155514240265,1185.7174072265625
1,,59,833.0259399414062,,,,,,
,0.03,60,,,,,,,
2,,89,,,473.0606994628906,0.21145805716514587,1545.2921142578125,0.24919109046459198,544.7778930664062
2,,89,707.5072021484375,,,,,,
,0.03,90,,,,,,,
3,,99,,607.3525390625,,,,,
3,,119,,,4680.71728515625,0.15180741250514984,12399.2744140625,0.1367620974779129,2374.56884765625
3,,119,600.6367797851562,,,,,,
,0.03,120,,,,,,,
4,,149,,453.5924072265625,,,,,
4,,149,,,4356.2451171875,0.15430377423763275,11529.9111328125,0.14267738163471222,3239.85205078125
4,,149,498.10919189453125,,,,,,
,0.03,150,,,,,,,
5,,179,,,2102.803466796875,0.116582490503788,5639.80712890625,0.11628825217485428,1272.7318115234375
5,,179,420.52154541015625,,,,,,
,0.03,180,,,,,,,
6,,199,,320.24114990234375,,,,,
6,,209,,,3916.55859375,0.12937791645526886,10435.3955078125,0.11914367973804474,2330.364501953125
6,,209,405.15020751953125,,,,,,
,0.03,210,,,,,,,
7,,239,,,2838.128173828125,0.16213010251522064,7481.78173828125,0.16526807844638824,1265.0064697265625
7,,239,355.8384704589844,,,,,,
,0.015,240,,,,,,,
8,,249,,259.23626708984375,,,,,
8,,269,,,3176.173095703125,0.1518823355436325,8432.796875,0.1501326858997345,2290.4189453125
8,,269,302.0082092285156,,,,,,
,0.015,270,,,,,,,
9,,299,,297.7329406738281,,,,,
9,,299,,,1835.324951171875,0.1321580857038498,4964.41943359375,0.13662369549274445,955.9169921875
9,,299,297.5975341796875,,,,,,
,0.015,300,,,,,,,
10,,329,,,3077.47705078125,0.155455082654953,8169.06494140625,0.15480510890483856,2250.870849609375
10,,329,280.1392517089844,,,,,,
,0.015,330,,,,,,,
11,,349,,342.7119140625,,,,,
11,,359,,,1714.681396484375,0.1386023908853531,4671.1318359375,0.1454949826002121,988.25927734375
11,,359,297.46087646484375,,,,,,
,0.015,360,,,,,,,
12,,389,,,1406.824462890625,0.12991449236869812,3941.950927734375,0.13716915249824524,876.08154296875
12,,389,271.4042053222656,,,,,,
